cohort,feature,rows,present_rows,coverage,first_seen
maturity_gap,home_ownership,541863,541863,1.0,2014-01-01
pd_development,home_ownership,17433,17433,1.0,2007-06-01
policy_development,home_ownership,94885,94885,1.0,2013-02-01
post_extension,home_ownership,877671,877671,1.0,2017-10-01
primary_oot,home_ownership,376890,376890,1.0,2016-04-01
probability_calibration,home_ownership,14101,14101,1.0,2011-01-01
censored_extension,il_util,88227,75393,0.8545343262266653,2017-07-01
conformal_fit,il_util,49007,0,0.0,
maturity_gap,il_util,541863,95108,0.17552038061281172,2015-12-01
pd_development,il_util,17433,0,0.0,
policy_development,il_util,94885,0,0.0,
post_extension,il_util,877671,742921,0.8464686653654957,2017-10-01
primary_oot,il_util,376890,324603,0.861267213245244,2016-04-01
probability_calibration,il_util,14101,0,0.0,
censored_extension,initial_list_status,88227,88227,1.0,2017-07-01
conformal_fit,initial_list_status,49007,49007,1.0,2012-01-01
maturity_gap,initial_list_status,541863,541863,1.0,2014-01-01
pd_development,initial_list_status,17433,17433,1.0,2007-06-01
policy_development,initial_list_status,94885,94885,1.0,2013-02-01
post_extension,initial_list_status,877671,877671,1.0,2017-10-01
primary_oot,initial_list_status,376890,376890,1.0,2016-04-01
probability_calibration,initial_list_status,14101,14101,1.0,2011-01-01
censored_extension,inq_fi,88227,88227,1.0,2017-07-01
conformal_fit,inq_fi,49007,0,0.0,
maturity_gap,inq_fi,541863,111012,0.20487097292119963,2015-12-01
pd_development,inq_fi,17433,0,0.0,
policy_development,inq_fi,94885,0,0.0,
post_extension,inq_fi,877671,877671,1.0,2017-10-01
primary_oot,inq_fi,376890,376890,1.0,2016-04-01
probability_calibration,inq_fi,14101,0,0.0,
censored_extension,inq_last_12m,88227,88227,1.0,2017-07-01
conformal_fit,inq_last_12m,49007,0,0.0,
maturity_gap,inq_last_12m,541863,111012,0.20487097292119963,2015-12-01
pd_development,inq_last_12m,17433,0,0.0,
policy_development,inq_last_12m,94885,0,0.0,
post_extension,inq_last_12m,877671,877671,1.0,2017-10-01
primary_oot,inq_last_12m,376890,376890,1.0,2016-04-01
probability_calibration,inq_last_12m,14101,0,0.0,
censored_extension,inq_last_6mths,88227,88227,1.0,2017-07-01
conformal_fit,inq_last_6mths,49007,49007,1.0,2012-01-01
maturity_gap,inq_last_6mths,541863,541863,1.0,2014-01-01
pd_development,inq_last_6mths,17433,17404,0.9983364882693742,2007-06-01
policy_development,inq_last_6mths,94885,94885,1.0,2013-02-01
post_extension,inq_last_6mths,877671,877671,1.0,2017-10-01
primary_oot,inq_last_6mths,376890,376890,1.0,2016-04-01
probability_calibration,inq_last_6mths,14101,14101,1.0,2011-01-01
censored_extension,installment,88227,88227,1.0,2017-07-01
conformal_fit,installment,49007,49007,1.0,2012-01-01
maturity_gap,installment,541863,541863,1.0,2014-01-01
pd_development,installment,17433,17433,1.0,2007-06-01
policy_development,installment,94885,94885,1.0,2013-02-01
post_extension,installment,877671,877671,1.0,2017-10-01
primary_oot,installment,376890,376890,1.0,2016-04-01
