relative_path,caption_type,caption_index,caption_text,caption_index_truncated
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,2,Figure 2: Sample-splitting setup. The training data is used to fit a predictive model fˆ. The remaining,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,3,Figure 3: Visualization of UCB calibration.,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,4,Figure 4: Numerical evaluations of concentration results for bounded losses. We show the simple,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,5,Figure 5: Numerical evaluations of the PU bound. We compare the bound from (9) with the estimated,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,table,6,Table 1: Distributions considered for the unbounded case.,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,7,"Figure 6: Optimal prediction sets. In the special case where ρ̂x (y, S) does not depend on S, Tλ (x) from",false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,8,"Figure 6. (The negative on λ comes from the definition of nesting, which asks sets to grow as λ grows.)",false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,9,Figure 7: Prediction set results on Imagenet. The risk and set sizes for an RCPS are plotted as,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,10,Figure 8: Multi-label prediction set examples on MS COCO. Black classes are correctly identified,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,11,Figure 9: Multi-label prediction set results on MS COCO. The risk and set sizes are plotted as,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,12,Figure 10: Hierarchical predictions. We show randomly selected examples of hierarchical prediction sets,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,13,Figure 11: The risk and height of RCPS for hierarchical classification. We show histograms of,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,figure,14,Figure 12: Polyp segmentations. We show examples of polyps along with prediction sets that capture,false
paper/Bates et al 2021 - Distribution-Free Risk-Controlling Prediction Sets.pdf,truncation_note,15,10 additional figure/table captions omitted from this compact index.,true
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,table,1,"Table 1 summarizes the a priori structural assumptions, hypothesis tests, and resulting uncertainty",false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,table,2,Table 1 Summary of data-driven uncertainty sets proposed in this paper.,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,3,"Figure 1 The left panel shows the sets Uχ and UG , α =  = 10%. When N = 0, the smallest set which implies a",false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,4,Figure 1 illustrates the sets Uχ and UG with a particular numerical example. The true distribution,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,5,Figure 1 illustrates an example. The true distribution is a standard normal whose cumulative,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,6,Figure 2 illustrates the sets UI and UF B numerically. The marginal distributions of P∗ are inde-,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,7,Figure 2 The left panel shows the marginal densities. The right panel shows UI (dashed black line) and UF B,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,table,8,"Table 2 Comparing Thresholds with and without bootstrap using NB = 10, 000",false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,9,"Figure 3 Comparing UM , ULCX , UCS and UDY for the example from Fig. 2,  = 10%, α = 20%. The left panel",false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,table,10,Table 3 Portfolio statistics for each of our methods. UDY and UCS ∩ supp(P∗ ) perform identically to UM .,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,11,Figure 4 Portolio performance by method: α =  = 10%. Top left: Cross-validation results. Top right: Out-of-,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,12,Fig. 4 shows the distribution of the 10% worst-case return. (Additional plots are also available in,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,13,Figure 5 The left panel shows various bounds on the median waiting time ( = .5) for n = 10 and various values,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,figure,14,Fig. 5. We have included the empirical CDF of the waiting time and the sampled version of the,false
paper/Bertsimas Gupta Kallus 2018 - Data-Driven Robust Optimization.pdf,truncation_note,15,1 additional figure/table captions omitted from this compact index.,true
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,1,"Figure 1 A regression tree is trained on data (x1 , y 1 ), . . . , (x10 , y 10 ) and partitions the X data into regions",false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,2,"Figure 2 Performance of various prescriptions with respect to true distributions, averaged over samples and",false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,3,Figure 3 Performance of various prescriptions in the two-stage shipment planning with pricing problem.,false
paper/Bertsimas Kallus 2020 - From Predictive to Prescriptive Analytics.pdf,figure,4,"Figure 4 The coefficient of prescriptiveness P in the example from Section 1.1, measured out of sample. The",false
