learner,learner_label,window,window_id,taxonomy_groups,score_stratum,conformal_group,alpha,fit_rows,fit_defaults,fit_default_prevalence,finite_sample_rank,boundary_count,phase_boundary_rate,phase_margin,phase_prevalence_at_or_below_boundary,frozen_threshold,threshold_below_half,max_score_below_half_condition,target_candidate_rows,target_score_max,positive_label_boundary,target_max_below_positive_label_boundary,positive_label_excluded_from_every_target_set,target_resolved_rows,target_resolved_misses,resolved_misses_in_exclusion_strata,resolved_misses_all_strata,exclusion_strata_resolved_miss_fraction
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,2,1,0.1,3483,269,0.0772322710307206,3136,347,0.09962675854148723,-78,True,0.0797867363162015,True,True,79865,0.080368886853859,0.9202132636837985,True,True,77165,9474,17314,46509,0.3722720333698854
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,3,2,0.1,5001,533,0.1065786842631473,4502,499,0.09978004399120176,34,False,0.8894148014498154,False,True,79047,0.1118929639718075,0.11058519855018456,False,False,76495,10822,17314,46509,0.3722720333698854
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,4,3,0.1,6360,1011,0.1589622641509434,5725,635,0.09984276729559749,376,False,0.8616959042825142,False,True,80235,0.1532609213726591,0.1383040957174858,False,False,77819,9917,17314,46509,0.3722720333698854
catboost_platt,CatBoost,W5,w05_2012m05_m10,5,5,4,0.1,6970,1464,0.2100430416068866,6274,696,0.09985652797704447,768,False,0.8124732989633325,False,True,77223,0.5544847575803251,0.18752670103666746,False,False,74890,8456,17314,46509,0.3722720333698854
catboost_platt,CatBoost,W6,w06_2012m06_m11,5,1,0,0.1,2551,116,0.0454723637789102,2297,254,0.0995687965503724,-138,True,0.0484668814087071,True,True,60520,0.0502639837473318,0.9515331185912929,True,True,58445,7787,17129,46655,0.3671417854463616
catboost_platt,CatBoost,W6,w06_2012m06_m11,5,2,1,0.1,3783,300,0.0793021411578112,3406,377,0.09965635738831616,-77,True,0.0798440797007135,True,True,79865,0.080368886853859,0.9201559202992865,True,True,77165,9342,17129,46655,0.3671417854463616
catboost_platt,CatBoost,W6,w06_2012m06_m11,5,3,2,0.1,5502,579,0.1052344601962922,4953,549,0.09978189749182116,30,False,0.8892521057704302,False,True,79047,0.1118929639718075,0.11074789422956977,False,False,76495,10880,17129,46655,0.3671417854463616
catboost_platt,CatBoost,W6,w06_2012m06_m11,5,4,3,0.1,7126,1119,0.1570305921975863,6415,711,0.09977547010945832,408,False,0.8612148729915213,False,True,80235,0.1532609213726591,0.13878512700847867,False,False,77819,10100,17129,46655,0.3671417854463616
catboost_platt,CatBoost,W6,w06_2012m06_m11,5,5,4,0.1,7723,1571,0.2034183607406448,6952,771,0.09983167163019552,800,False,0.8119678361988626,False,True,77223,0.5544847575803251,0.1880321638011374,False,False,74890,8546,17129,46655,0.3671417854463616
catboost_platt,CatBoost,W7,w07_2012m07_m12,5,1,0,0.1,2733,121,0.044273691913648,2461,272,0.09952433223563849,-151,True,0.0484805012938176,True,True,60520,0.0502639837473318,0.9515194987061824,True,True,58445,7750,17319,47615,0.36372991704294866
catboost_platt,CatBoost,W7,w07_2012m07_m12,5,2,1,0.1,4268,318,0.0745079662605435,3843,425,0.09957825679475164,-107,True,0.0797397671541154,True,True,79865,0.080368886853859,0.9202602328458847,True,True,77165,9569,17319,47615,0.36372991704294866
catboost_platt,CatBoost,W7,w07_2012m07_m12,5,3,2,0.1,5929,603,0.1017034913138809,5337,592,0.09984820374430764,11,False,0.8884345991499274,False,True,79047,0.1118929639718075,0.1115654008500726,False,False,76495,11195,17319,47615,0.36372991704294866
