learner,learner_label,window_id,score_stratum,fit_rows,target_rows,resolved_rows,unresolved_rows,completion_directional_ks_denominator,calibration_minus_target_ks_min,calibration_minus_target_ks_max,target_minus_calibration_ks_min,target_minus_calibration_ks_max,calibration_minus_target_ks_min_numerator,calibration_minus_target_ks_max_numerator,target_minus_calibration_ks_min_numerator,target_minus_calibration_ks_max_numerator,sharp_directional_discrepancy_comparison,v5_q_and_coverage_reconciled
numeric_logistic_platt,Numeric logistic,w03_2012m03_m08,3,3252,70157,67884,2273,228150564,0.0058142963871875,0.0373806395674744,0.0073087831595279,0.0209068560531807,1326535,8528414,1667503,4769911,directional_discrepancies_not_robustly_ordered,True
numeric_logistic_platt,Numeric logistic,w03_2012m03_m08,4,4515,87008,84316,2692,392841120,0.0106008505423261,0.0393459218322155,0.0070289561337163,0.0171314754422856,4164450,15456696,2761263,6729948,directional_discrepancies_not_robustly_ordered,True
numeric_logistic_platt,Numeric logistic,w03_2012m03_m08,5,6579,115768,112176,3592,761637672,0.0785898521048995,0.102400855245511,0.0008577096748439,0.0046695471229264,59856992,77992349,653264,3556503,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w04_2012m04_m09,1,2062,48646,47005,1641,100308052,0.0351132130449507,0.0688261596387097,0.1283516102974465,0.1352792096889689,3522138,6903818,12874700,13569594,smaller_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w04_2012m04_m09,2,2940,55311,53433,1878,162614340,0.0200810887895864,0.0508099101223176,0.000332184726144,0.000332184726144,3265473,8262420,54018,54018,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w04_2012m04_m09,3,3594,70157,67884,2273,252144258,0.0105613430229293,0.0418768211648111,0.0140583649539225,0.0270995264940754,2662982,10559000,3544736,6832990,directional_discrepancies_not_robustly_ordered,True
numeric_logistic_platt,Numeric logistic,w04_2012m04_m09,4,5235,87008,84316,2692,455486880,0.012523629659761,0.0433053439431669,0.0114500553781044,0.0212619713656735,5704349,19725016,5215350,9684549,directional_discrepancies_not_robustly_ordered,True
numeric_logistic_platt,Numeric logistic,w04_2012m04_m09,5,7936,115768,112176,3592,918734848,0.0795294443865484,0.1038804876159437,0.0012857768512553,0.0049151852787889,73066472,95438624,1181288,4515752,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w05_2012m05_m10,1,2151,48646,47005,1641,104637546,0.0295335576772796,0.0621836353081139,0.1271426892981607,0.1342552987624537,3090319,6506743,13303899,14048145,smaller_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w05_2012m05_m10,2,3070,55311,53433,1878,169804770,0.0166144154843235,0.0497817464138374,0.000360991036942,0.0013773700232331,2821207,8453178,61298,233884,larger_target_residual_discrepancy_dominates,True
numeric_logistic_platt,Numeric logistic,w05_2012m05_m10,3,3987,70157,67884,2273,279715959,0.0154176937755632,0.0473072542850513,0.0090791852173153,0.0226545028844778,4312575,13232594,2539593,6336826,directional_discrepancies_not_robustly_ordered,True
numeric_logistic_platt,Numeric logistic,w05_2012m05_m10,4,5907,87008,84316,2692,513956256,0.019865398817132,0.0507591097402655,0.0110678174136282,0.020702333857767,10209946,26087962,5688374,10640094,directional_discrepancies_not_robustly_ordered,True
