paired_policy_id,seed,purpose_cap,payoff_direction,default_direction,miscoverage_direction,payoff_lower,payoff_upper,default_lower,default_upper,miscoverage_lower,miscoverage_upper
linear-007,43,0.2,negative,indeterminate,negative,-46515.74278266617,-19764.477782666185,-0.0005368532267493692,0.0021014801065839628,-0.004551925329298448,-0.0019135919959651154
linear-007,43,0.25,negative,indeterminate,indeterminate,-40857.2847246661,-733.8122729264687,-0.0017447284474458478,0.002095398663488334,-0.0011190571301735197,0.002721069980760661
linear-007,43,0.3,negative,positive,positive,-156021.85528746172,-121574.61179645146,0.01062374854670663,0.01403226337000441,0.01187457147588283,0.015283086299180609
linear-007,43,1.0,negative,indeterminate,indeterminate,-87405.30213592935,-5446.059779234391,-0.0009564287683819076,0.006880031316077449,-0.005483936647545314,0.001685856770247374
linear-007,44,0.2,negative,positive,positive,-167624.94147801626,-69688.6332210342,0.005413692668566687,0.015117047188343169,0.005365784352227674,0.015069138872004157
linear-007,44,0.25,negative,indeterminate,positive,-95225.48500549013,-4633.7125054901335,-0.0008540888421460461,0.007945911157853954,6.300445962385999e-05,0.00843800445962386
linear-007,44,0.3,negative,indeterminate,indeterminate,-108510.31688755169,-6630.0218875516985,-0.0004615549552978867,0.009615111711368782,-0.0013313861314121914,0.0076786138685878075
linear-007,44,1.0,negative,positive,positive,-164557.72830904834,-72911.11143747812,0.005696729902637792,0.014863773130122685,0.004107582847656746,0.011207959408474974
linear-008,40,0.2,indeterminate,indeterminate,indeterminate,-62607.46968640934,21741.54382633252,-0.004896420510012638,0.0033784543638427558,-0.0019327917701561226,0.00505874977036594
linear-008,40,0.25,indeterminate,negative,negative,-15454.783051217819,104378.06121974371,-0.013848477309846024,-0.0015272158071848226,-0.014889640365136455,-0.0025683788624752523
linear-008,40,0.3,indeterminate,indeterminate,indeterminate,-120680.01459741851,23494.99426481963,-0.005532020494162803,0.009414181630448307,-0.006715353378310939,0.008230848746300173
linear-008,40,1.0,negative,positive,positive,-243125.46190993494,-103541.26080969731,0.007548386165660249,0.021583038124036287,0.011695497214041672,0.025730149172417706
linear-008,41,0.2,positive,negative,negative,166457.11306475062,300585.9972937276,-0.033260025793248445,-0.019955281750325588,-0.028321328286632065,-0.016166902507571974
linear-008,41,0.25,positive,negative,indeterminate,14278.569429749332,155316.55753736527,-0.018065310340425918,-0.0040125325493663155,-0.011617324936211773,0.0007687861881811621
linear-008,41,0.3,indeterminate,indeterminate,indeterminate,-94843.00258293258,58807.157417067414,-0.008529163380050438,0.006690836619949567,-0.002395925337096587,0.011490741329570084
linear-008,41,1.0,indeterminate,indeterminate,indeterminate,-115352.2638712216,26276.74612877841,-0.006607822297532836,0.007530511035800498,-0.0031942264257679015,0.010944106907565435
linear-008,42,0.2,indeterminate,indeterminate,positive,-125155.53569653597,2937.979193414387,-0.003234969802064819,0.009738948676627468,0.0038541498870727888,0.015628068365765076
linear-008,42,0.25,negative,indeterminate,positive,-157069.75348556685,-25322.43860323287,-0.0005188772361298466,0.012567045371529268,0.007330023613209583,0.01882927955420203
linear-008,42,0.3,negative,positive,positive,-157399.72014091298,-27779.36796798653,0.0007427177308331392,0.013676184642238479,0.009127712570146706,0.02047451281488538
linear-008,42,1.0,negative,positive,positive,-170073.61360055598,-87088.18110055599,0.004903068723263668,0.013439735389930334,0.011700542548013334,0.01985054254801333
linear-008,43,0.2,positive,negative,negative,53561.77009263845,133510.8373225703,-0.0176002297903255,-0.009083564564650504,-0.017963837396333785,-0.010113838837325454
linear-008,43,0.25,positive,negative,negative,7203.453893053831,95467.69112160457,-0.013538078403817527,-0.00421485769577084,-0.014024745070484193,-0.005368191029104172
linear-008,43,0.3,negative,indeterminate,positive,-108381.67163618066,-24934.29552021028,-0.0011421467375288745,0.00762380122012105,0.0003927285597058747,0.008492009850689132
linear-008,43,1.0,negative,positive,positive,-215718.27768204222,-97766.20018204223,0.006921423911980735,0.019716423911980738,0.007557094123470042,0.020352094123470044
linear-008,44,0.2,indeterminate,indeterminate,indeterminate,-20647.703518578128,122963.754961061,-0.014013169773702632,0.0007058466106550296,-0.002619241824987302,0.01103310789270369
linear-008,44,0.25,indeterminate,indeterminate,positive,-85819.13445043792,33413.023726473955,-0.005013467112511575,0.007286223515485338,0.004045213842266944,0.016344904470263856
linear-008,44,0.3,positive,negative,indeterminate,13140.941710533967,143690.09921053398,-0.01708295054506584,-0.003561283878399173,-0.010067446609096595,0.003387553390903409
linear-008,44,1.0,negative,indeterminate,positive,-145037.89243051145,-14002.689824179834,-0.0016756444318110422,0.011706614428578765,0.002012278047757136,0.015394536908146947
linear-009,40,0.2,indeterminate,indeterminate,indeterminate,-119994.76993547045,24276.160383487993,-0.006190971619109909,0.008852108067013352,-0.0013776382857765765,0.013665441400346687
linear-009,40,0.25,indeterminate,negative,indeterminate,-24420.11234126368,134864.9633702475,-0.018178269857855308,-0.0015873928363432676,-0.014857169067297693,0.0017337079542143492
linear-009,40,0.3,indeterminate,indeterminate,indeterminate,-144251.57188966486,20709.91268801596,-0.00586996308667625,0.011493070079537952,-0.00055155963473753,0.016811473531476672
linear-009,40,1.0,indeterminate,indeterminate,indeterminate,-172119.6544940723,26440.275281129863,-0.006973318098083337,0.013778159956678155,-0.002050369690658856,0.018701108364102634
linear-009,41,0.2,positive,negative,negative,120157.00044363426,301415.6984825968,-0.03558943524514537,-0.01714615282367613,-0.027332910567952964,-0.009427961479817056
linear-009,41,0.25,indeterminate,indeterminate,indeterminate,-70140.76227343579,122135.5573895588,-0.016320263422456245,0.0031833423094526185,-0.014643242048056643,0.003925363683852219
linear-009,41,0.3,indeterminate,indeterminate,indeterminate,-81121.88464631423,112514.91785368577,-0.01509992545911929,0.004161741207547381,-0.007915717111342369,0.011012616221990965
linear-009,41,1.0,indeterminate,indeterminate,indeterminate,-160902.83322157175,7250.712302304964,-0.0053675495048751245,0.011206365081820172,-0.0016409002153299317,0.014933014371365363
linear-009,42,0.2,indeterminate,indeterminate,positive,-175150.15315646975,16083.029650295852,-0.007099681618207135,0.012565736857349031,0.001693349115324456,0.02015876759088062
